adp,Name,Pos,Team,Overall,Std.,High,Low
128,Chicago Defense,DEF,CHI,136.7,8,10.01,14.07
129,Justin Jackson,RB,FA,137.6,12.9,8.02,15.12
130,Nyheim Hines,RB,FA,139.9,14.6,7.06,15.11
131,New England Defense,DEF,NE,140.2,7,10.05,14.03
132,Sammy Watkins,WR,FA,140.5,11.6,6.12,14.1
133,T.J. Hockenson,TE,MIN,143.1,17.4,8.01,15.1
134,Justin Tucker,PK,FA,144.5,11,1.05,14.05
135,Baker Mayfield,QB,TB,144.7,11.6,8.04,15.07
136,Mike Gesicki,TE,CIN,146.5,19.5,8.05,15.12
137,Jared Goff,QB,DET,147.2,14.1,7.12,15.07
138,Harrison Butker,PK,KC,147.5,11.8,2.08,14.05
139,LA Chargers Defense,DEF,LAC,147.5,8,11.01,15.07
140,John Brown,WR,FA,149.1,14,8.02,15.08
141,Michael Pittman Jr.,WR,IND,151.7,12.7,10.05,15.08
142,Darrel Williams,RB,FA,152.3,19.6,9.07,16.07
143,Jerick McKinnon,RB,FA,152.3,15.4,9.07,16.04
144,Benny Snell Jr.,RB,FA,152.9,19,9.01,16.08
145,Breshad Perriman,WR,FA,153,13.9,7.06,15.1
146,Jonnu Smith,TE,FA,153.6,16.5,8.05,16.03
147,Chris Herndon,TE,FA,153.9,17.6,7.09,16.06
148,Tampa Bay Defense,DEF,TB,154.2,10.5,11.03,15.12
149,Joshua Kelley,RB,FA,154.5,16.1,10.09,16.06
150,Wil Lutz,PK,DEN,155.7,6.9,10.07,14.08
151,Greg Zuerlein,PK,FA,156.1,7.8,10.11,14.11
152,Ryan Tannehill,QB,FA,156.4,13.9,9.12,15.12
153,Jimmy Garoppolo,QB,LAR,157.2,17,7.06,16.03
154,Parris Campbell,WR,DAL,158.4,15.6,8.11,16.07
155,N'Keal Harry,TE,FA,159,14.1,9.02,16.05
156,Gardner Minshew,QB,KC,159.2,15,7.02,16.03
157,Philip Rivers,QB,IND,159.6,16,8.02,16.01
158,Seattle Defense,DEF,SEA,160.3,13.5,2.12,15.12
159,Dallas Defense,DEF,DAL,161,17.2,9.01,15.11
160,Mike Williams,WR,FA,161.9,14.9,11.03,15.12
161,Robbie Gould,PK,FA,162.3,6.3,11.01,15.08
162,Drew Lock,QB,SEA,162.4,15.4,7.12,16.01
163,Minnesota Defense,DEF,MIN,163.1,11.3,8.1,16.01
164,New Orleans Defense,DEF,NO,163.6,9.6,10.08,16.02
165,Curtis Samuel,WR,BUF,163.9,11.5,12.04,15.12
166,Robbie Chosen,WR,FA,163.9,17.8,4.07,16.09
167,Bryan Edwards,WR,FA,164.2,14,11.02,16.01
168,Matt Gay,PK,FA,166,5.2,13.01,15.11
169,Kansas City Defense,DEF,KC,167.1,11.4,10.09,15.12
170,Zane Gonzalez,PK,ATL,167.8,5.7,12.08,15.12
171,Matt Prater,PK,BUF,167.9,7.1,10.1,15.12
172,Younghoe Koo,PK,FA,168.8,6.3,12.12,15.12
173,Philadelphia Defense,DEF,PHI,169.1,8.7,12.05,15.12
174,Indianapolis Defense,DEF,IND,170.3,8.5,12.08,16.06
175,Chris Boswell,PK,PIT,170.4,14.5,9.06,15.12
176,Ka'imi Fairbairn,PK,HOU,172.5,4.8,14.04,16.02
177,Jake Elliott,PK,PHI,173.1,4.2,14.08,16.03
178,Brandon McManus,PK,GB,173.8,5,13.06,15.12
180,Marlon Mack,RB,FA,158.8,16.4,10.07,17.02
181,Mason Crosby,PK,FA,159.2,13.7,12.07,17.03
182,Randall Cobb,WR,FA,159.7,18.2,9.04,16.04
183,Jerick McKinnon,RB,FA,159.7,21.7,6.03,18.05
184,Denver Defense,DEF,DEN,159.8,13.8,9.1,16.11
185,Tua Tagovailoa,QB,MIA,160.6,20,8.03,15.12
186,Kirk Cousins,QB,ATL,160.9,17.8,3.07,17.08
187,Malcolm Brown,RB,FA,161.7,16.1,11.06,17.01
188,DeVante Parker,WR,FA,162.3,14,10.06,15.12
189,Deshaun Watson,QB,CLE,163.6,15.9,10.12,16.11
190,Matt Gay,PK,FA,163.8,12.3,10.1,15.11
191,Robbie Gould,PK,FA,165.1,14.1,10.1,18.04
192,Carson Wentz,QB,MIN,167.1,11.8,11.04,17.08
193,Wil Lutz,PK,DEN,168,19.1,12.05,18.03
194,Nelson Agholor,WR,FA,170.7,25.1,10.02,18.05
195,Marquez Valdes-Scantling,WR,PIT,170.9,23.5,9.08,18.05
196,Kansas City Defense,DEF,KC,173.2,25.7,10.12,18.05
197,Daniel Carlson,PK,LV,173.7,18,10.12,18.02
198,Jason Myers,PK,SEA,174,14.7,12.06,18.04
201,Graham Gano,PK,NYG,167.1,16.1,12.04,19.02
202,Chase Claypool,WR,FA,169.1,10,12.09,15.12
205,Matt Prater,PK,BUF,193.5,13,15.01,18.02
