ADP,Name,Pos,Team,Overall,Std.,High,Low
132,Elijah Mitchell,RB,NE,129.8,14.5,9.05,13.06
133,Kirk Cousins,QB,ATL,130.1,10.8,8.05,13.06
134,Ty Chandler,RB,MIN,130.3,7.1,10.04,13.06
135,Aaron Rodgers,QB,PIT,130.4,13.6,7.08,13.06
136,Joshua Palmer,WR,BUF,130.5,8.1,9.01,13.06
137,Zach Charbonnet,RB,SEA,130.7,6.7,10.05,13.03
138,Baltimore Defense,DEF,BAL,131.2,15.9,6.05,14.02
139,Jakobi Meyers,WR,JAX,131.7,13.8,8.07,13.1
140,Jerry Jeudy,WR,CLE,132.9,8.2,9.1,13.01
141,San Francisco Defense,DEF,SF,133.4,17.8,5.08,14.03
142,Jordan Addison,WR,MIN,134.1,9.7,9.08,13.08
143,Justin Fields,QB,NYJ,134.7,55.4,3.01,18.04
144,Brandin Cooks,WR,BUF,135.1,9.4,9.1,13.08
145,Pat Freiermuth,TE,PIT,135.5,11.6,9.07,14.12
146,Khalil Herbert,RB,NYJ,136.4,9.8,10.05,14.07
147,Cole Kmet,TE,CHI,137.1,13.8,8.05,14.09
148,Dallas Defense,DEF,DAL,139.3,17.9,8.1,14.11
149,Rashid Shaheed,WR,SEA,139.8,7.7,11.03,13.06
150,NY Jets Defense,DEF,NYJ,140.8,18.2,7.09,16.03
151,Justin Tucker,PK,FA,140.9,19,7.04,16.05
152,Xavier Legette,WR,CAR,141.3,11.9,11.01,15.1
153,Harrison Butker,PK,KC,142,20.5,6.03,16.02
154,Brandon Aubrey,PK,DAL,143.6,17.4,9.03,16.05
155,Kimani Vidal,RB,LAC,143.9,14.2,10.1,15.12
156,Chicago Defense,DEF,CHI,147.4,25.7,4.09,16.11
157,Ray Davis,RB,BUF,147.7,13.2,10.05,15.1
158,Detroit Defense,DEF,DET,148.6,37.5,4.12,16.01
159,Jordan Mason,RB,MIN,149.1,18.1,9.06,15.09
160,Deshaun Watson,QB,CLE,149.3,13.2,10.05,15.09
161,Younghoe Koo,PK,FA,149.5,16.5,10.02,16.07
162,Jake Moody,PK,WAS,150.6,15.3,10.05,15.05
163,Evan McPherson,PK,CIN,150.8,16.8,10.05,16.05
164,Dameon Pierce,RB,KC,151.4,16.3,10.12,15.1
165,Luke Musgrave,TE,GB,151.7,19.6,9.11,15.1
166,Isaiah Likely,TE,BAL,152,22.8,8.08,15.12
167,Jahan Dotson,WR,PHI,152,12.7,11.06,15.1
168,Quentin Johnston,WR,LAC,152.2,19.5,10.05,15.11
169,Bucky Irving,RB,TB,152.9,13.2,11.03,15.12
170,Jake Elliott,PK,PHI,153.6,15.1,10.11,16.1
171,Cleveland Defense,DEF,CLE,155.1,22.3,8.07,16.11
172,Josh Downs,WR,IND,155.9,13.6,11.02,15.12
173,Taysom Hill,QB,NO,155.9,15,9.08,15.12
174,Baker Mayfield,QB,TB,156,14.3,10.12,16.05
175,Jaylen Wright,RB,MIA,156.6,14.3,10.11,16.06
176,Ka'imi Fairbairn,PK,HOU,156.8,15.3,10.07,16.11
177,Pittsburgh Defense,DEF,PIT,157.8,23.3,8.06,17.04
178,Antonio Gibson,RB,FA,158.6,12.6,12.04,15.1
179,Buffalo Defense,DEF,BUF,158.8,21.3,10.11,17.01
180,Adam Thielen,WR,FA,159,13.9,10.04,15.12
181,MarShawn Lloyd,RB,GB,159.1,14.1,12.02,16.02
182,Geno Smith,QB,LV,159.8,13.4,12.05,16.07
183,Dontayvion Wicks,WR,GB,160,17.6,9.02,17.08
184,Will Levis,QB,TEN,160,10.7,12.08,15.12
185,Cameron Dicker,PK,LAC,160,15.8,10.08,16.08
186,Daniel Carlson,PK,LV,160.2,16.2,12.09,17.02
187,Alexander Mattison,RB,MIA,160.7,11.1,12.07,16.04
188,Adonai Mitchell,WR,NYJ,160.9,14.9,11.07,15.12
189,Cincinnati Defense,DEF,CIN,160.9,16.7,12.06,15.12
190,Jason Sanders,PK,MIA,161.3,17.8,10.11,17.04
191,Darnell Mooney,WR,ATL,161.8,14.4,11.06,15.12
192,Ricky Pearsall,WR,SF,162.7,15.7,10.09,16.02
193,Kansas City Defense,DEF,KC,163.3,18.2,10.12,17.08
194,Ja'Lynn Polk,WR,NO,163.4,15,11.08,17.01
195,Michael Badgley,PK,FA,164.1,13.7,12.11,15.12
196,Tyler Bass,PK,BUF,165.9,14.3,11.12,15.12
197,Dawson Knox,TE,BUF,165.9,19.5,11.05,16.11
198,Rashod Bateman,WR,BAL,169.6,9.7,13.07,16.01
199,Gabe Davis,WR,BUF,169.6,9.4,13.07,15.1
200,Michael Wilson,WR,ARI,170.2,22.3,11.05,18.01
201,Tyrone Tracy Jr.,RB,NYG,174,15.7,13.06,17.09
202,New Orleans Defense,DEF,NO,174.7,13.1,13.01,17.07
203,Greg Zuerlein,PK,FA,174.9,20.2,12.05,17.11
204,Bo Nix,QB,DEN,177.5,21.3,11.06,18.04
205,Matt Prater,PK,BUF,193.5,13,15.01,18.02
