player_name,position,season,fpts_pg,fpts_season,vorp_pg,vorp_season,replacement_pg,est_games,adp,adp_round
Kyler Murray,QB,2021,16.48,247.2,0.94,14.1,15.54,15,40.5,4
T.J. Hockenson,TE,2021,7.73,116.0,1.57,23.6,6.16,15,54.1,5
Miles Sanders,RB,2021,6.78,101.7,0.48,7.2,6.3,15,37.5,4
Devin Singletary,RB,2021,5.12,76.8,-1.18,-17.7,6.3,15,88.8,8
Tony Pollard,RB,2021,5.43,81.4,-0.87,-13.0,6.3,15,101.1,9
Myles Gaskin,RB,2021,5.04,75.6,-1.26,-18.9,6.3,15,42.1,4
Ty Johnson,RB,2021,2.73,27.3,-3.57,-35.7,6.3,10,148.6,13
DK Metcalf,WR,2021,8.68,130.2,0.06,0.9,8.62,15,20.3,2
Noah Fant,TE,2021,5.4,54.0,-0.76,-7.6,6.16,10,78.2,7
Damien Harris,RB,2021,12.21,183.2,5.91,88.6,6.3,15,53.8,5
Terry McLaurin,WR,2021,8.42,126.3,-0.2,-3.0,8.62,15,29.5,3
Marquise Brown,WR,2021,8.26,123.9,-0.36,-5.4,8.62,15,138.7,12
A.J. Brown,WR,2021,8.04,120.6,-0.58,-8.7,8.62,15,25.2,3
David Montgomery,RB,2021,7.33,110.0,1.03,15.4,6.3,15,25.7,3
Josh Jacobs,RB,2021,12.84,192.6,6.54,98.1,6.3,15,27.4,3
Deebo Samuel Sr.,WR,2021,10.86,162.9,2.24,33.6,8.62,15,88.2,8
James Robinson,RB,2021,9.63,144.5,3.33,50.0,6.3,15,30.3,3
Tony Jones,RB,2021,1.1,11.0,-5.2,-52.0,6.3,10,162.9,14
Salvon Ahmed,RB,2021,2.52,25.2,-3.78,-37.8,6.3,10,167.4,14
Gabe Davis,WR,2021,4.08,40.8,-4.54,-45.4,8.62,10,175.5,15
Tua Tagovailoa,QB,2021,12.2,183.0,-3.34,-50.1,15.54,15,158.0,14
Marquez Callaway,WR,2021,4.64,46.4,-3.98,-39.8,8.62,10,113.2,10
Jonathan Taylor,RB,2021,17.93,269.0,11.63,174.5,6.3,15,11.9,1
Zack Moss,RB,2021,3.22,32.2,-3.08,-30.8,6.3,10,76.9,7
Brandon Aiyuk,WR,2021,6.16,92.4,-2.46,-36.9,8.62,15,55.8,5
Laviska Shenault Jr.,WR,2021,6.17,92.6,-2.45,-36.8,8.62,15,92.1,8
D'Andre Swift,RB,2021,6.16,92.4,-0.14,-2.1,6.3,15,33.7,3
Darnell Mooney,WR,2021,8.22,123.3,-0.4,-6.0,8.62,15,113.2,10
Justin Jefferson,WR,2021,17.9,268.5,9.28,139.2,8.62,15,23.2,2
Chase Claypool,WR,2021,7.02,105.3,-1.6,-24.0,8.62,15,61.3,6
Antonio Gibson,RB,2021,7.18,107.7,0.88,13.2,6.3,15,14.4,2
Justin Herbert,QB,2021,20.12,301.8,4.58,68.7,15.54,15,61.2,6
CeeDee Lamb,WR,2021,9.3,139.5,0.68,10.2,8.62,15,31.1,3
Clyde Edwards-Helaire,RB,2021,5.47,82.0,-0.83,-12.4,6.3,15,18.3,2
Bryan Edwards,WR,2021,4.14,41.4,-4.48,-44.8,8.62,10,151.6,13
Jalen Reagor,WR,2021,2.28,22.8,-6.34,-63.4,8.62,10,161.0,14
Jalen Hurts,QB,2021,11.92,178.8,-3.62,-54.3,15.54,15,95.1,8
Jerry Jeudy,WR,2021,6.73,101.0,-1.89,-28.4,8.62,15,68.1,6
Tee Higgins,WR,2021,8.72,130.8,0.1,1.5,8.62,15,64.6,6
Adam Trautman,TE,2021,2.88,28.8,-3.28,-32.8,6.16,10,154.2,13
Joe Burrow,QB,2021,19.04,285.6,3.5,52.5,15.54,15,110.2,10
Chuba Hubbard,RB,2021,4.47,67.0,-1.83,-27.4,6.3,15,134.1,12
Jaylen Waddle,WR,2021,9.16,137.4,0.54,8.1,8.62,15,105.2,9
Rhamondre Stevenson,RB,2021,4.51,67.6,-1.79,-26.8,6.3,15,134.1,12
Najee Harris,RB,2021,8.25,123.8,1.95,29.2,6.3,15,13.3,2
Pat Freiermuth,TE,2021,4.77,47.7,-1.39,-13.9,6.16,10,163.3,14
Ja'Marr Chase,WR,2021,15.38,230.7,6.76,101.4,8.62,15,77.3,7
DeVonta Smith,WR,2021,7.56,113.4,-1.06,-15.9,8.62,15,81.4,7
Kenneth Gainwell,RB,2021,2.18,21.8,-4.12,-41.2,6.3,10,155.4,13
Rondale Moore,WR,2021,3.49,34.9,-5.13,-51.3,8.62,10,161.3,14
Justin Fields,QB,2021,8.98,89.8,-6.56,-65.6,15.54,10,132.0,11
Terrace Marshall Jr.,WR,2021,1.47,14.7,-7.15,-71.5,8.62,10,162.2,14
Amon-Ra St. Brown,WR,2021,9.0,135.0,0.38,5.7,8.62,15,162.6,14
Trevor Lawrence,QB,2021,12.76,191.4,-2.78,-41.7,15.54,15,126.7,11
Mac Jones,QB,2021,13.16,197.4,-2.38,-35.7,15.54,15,147.8,13
Elijah Moore,WR,2021,6.76,101.4,-1.86,-27.9,8.62,15,134.0,12
Trey Sermon,RB,2021,1.95,19.5,-4.35,-43.5,6.3,10,67.0,6
Javonte Williams,RB,2021,6.03,90.4,-0.27,-4.1,6.3,15,57.4,5
Trey Lance,QB,2021,5.24,52.4,-10.3,-103.0,15.54,10,115.8,10
Zach Wilson,QB,2021,7.68,115.2,-7.86,-117.9,15.54,15,174.6,15
Tom Brady,QB,2022,15.2,228.0,-0.2,-3.0,15.4,15,82.0,7
Aaron Rodgers,QB,2022,16.96,254.4,1.56,23.4,15.4,15,95.6,8
Matthew Stafford,QB,2022,13.96,209.4,-1.44,-21.6,15.4,15,85.8,8
Matthew Stafford,QB,2022,13.96,209.4,-1.44,-21.6,15.4,15,155.1,13
Julio Jones,WR,2022,4.42,44.2,-4.46,-44.6,8.88,10,126.2,11
Russell Wilson,QB,2022,13.48,202.2,-1.92,-28.8,15.4,15,68.3,6
Russell Wilson,QB,2022,13.48,202.2,-1.92,-28.8,15.4,15,128.1,11
Kirk Cousins,QB,2022,18.6,279.0,3.2,48.0,15.4,15,107.4,9
Adam Thielen,WR,2022,6.62,99.3,-2.26,-33.9,8.88,15,70.8,6
Adam Thielen,WR,2022,6.62,99.3,-2.26,-33.9,8.88,15,125.5,11
Zach Ertz,TE,2022,6.77,101.6,1.67,25.0,5.1,15,94.7,8
Keenan Allen,WR,2022,11.76,176.4,2.88,43.2,8.88,15,31.2,3
Robert Woods,WR,2022,4.8,48.0,-4.08,-40.8,8.88,10,101.5,9
Travis Kelce,TE,2022,10.98,164.7,5.88,88.2,5.1,15,17.2,2
DeAndre Hopkins,WR,2022,12.66,189.9,3.78,56.7,8.88,15,57.1,5
Cordarrelle Patterson,RB,2022,10.81,162.2,4.37,65.6,6.44,15,90.6,8
Cordarrelle Patterson,RB,2022,10.81,162.2,4.37,65.6,6.44,15,125.4,11
Brandin Cooks,WR,2022,7.92,118.8,-0.96,-14.4,8.88,15,57.5,5
Derek Carr,QB,2022,17.92,268.8,2.52,37.8,15.4,15,102.8,9
Derek Carr,QB,2022,17.92,268.8,2.52,37.8,15.4,15,148.7,13
Davante Adams,WR,2022,19.1,286.5,10.22,153.3,8.88,15,12.4,2
Mike Evans,WR,2022,9.34,140.1,0.46,6.9,8.88,15,26.7,3
Stefon Diggs,WR,2022,18.67,280.0,9.79,146.8,8.88,15,14.2,2
Darren Waller,TE,2022,6.7,67.0,1.6,16.0,5.1,10,51.8,5
Raheem Mostert,RB,2022,5.82,87.3,-0.62,-9.3,6.44,15,151.1,13
Tyler Lockett,WR,2022,12.2,183.0,3.32,49.8,8.88,15,106.5,9
Derrick Henry,RB,2022,17.32,259.8,10.88,163.2,6.44,15,4.1,1
Tyler Boyd,WR,2022,5.8,58.0,-3.08,-30.8,8.88,10,134.6,12
Tyreek Hill,WR,2022,12.1,181.5,3.22,48.3,8.88,15,23.6,2
Ezekiel Elliott,RB,2022,12.11,181.6,5.67,85.0,6.44,15,27.7,3
Dak Prescott,QB,2022,18.34,275.1,2.94,44.1,15.4,15,79.2,7
Jared Goff,QB,2022,18.08,271.2,2.68,40.2,15.4,15,120.7,11
Tyler Higbee,TE,2022,5.94,89.1,0.84,12.6,5.1,15,152.7,13
Christian McCaffrey,RB,2022,7.86,117.9,1.42,21.3,6.44,15,2.5,1
George Kittle,TE,2022,4.7,47.0,-0.4,-4.0,5.1,10,44.5,4
Taysom Hill,TE,2022,0.41,4.1,-4.69,-46.9,5.1,10,173.6,15
Mike Williams,WR,2022,9.76,146.4,0.88,13.2,8.88,15,36.8,4
James Conner,RB,2022,7.55,113.2,1.11,16.7,6.44,15,25.1,3
Leonard Fournette,RB,2022,6.0,90.0,-0.44,-6.6,6.44,15,21.0,2
Leonard Fournette,RB,2022,6.0,90.0,-0.44,-6.6,6.44,15,164.4,14
JuJu Smith-Schuster,WR,2022,6.54,98.1,-2.34,-35.1,8.88,15,80.5,7
Patrick Mahomes,QB,2022,21.12,316.8,5.72,85.8,15.4,15,38.0,4
Zay Jones,WR,2022,6.8,102.0,-2.08,-31.2,8.88,15,143.7,12
Dalvin Cook,RB,2022,8.83,132.4,2.39,35.8,6.44,15,5.8,1
Gerald Everett,TE,2022,5.06,75.9,-0.04,-0.6,5.1,15,153.6,13
Joe Mixon,RB,2022,7.8,117.0,1.36,20.4,6.44,15,9.5,1
Alvin Kamara,RB,2022,7.74,116.1,1.3,19.5,6.44,15,11.1,1
Cooper Kupp,WR,2022,20.4,306.0,11.52,172.8,8.88,15,6.6,1
Chris Godwin Jr.,WR,2022,9.9,148.5,1.02,15.3,8.88,15,53.9,5
Kareem Hunt,RB,2022,3.63,36.3,-2.81,-28.1,6.44,10,64.9,6
Gus Edwards,RB,2022,5.5,82.5,-0.94,-14.1,6.44,15,141.3,12
Marquez Valdes-Scantling,WR,2022,4.6,46.0,-4.28,-42.8,8.88,10,162.8,14
Courtland Sutton,WR,2022,8.92,133.8,0.04,0.6,8.88,15,47.3,4
Dallas Goedert,TE,2022,8.36,125.4,3.26,48.9,5.1,15,77.8,7
Nyheim Hines,RB,2022,0.92,9.2,-5.52,-55.2,6.44,10,99.0,9
Dalton Schultz,TE,2022,5.1,51.0,0.0,0.0,5.1,10,61.8,6
Allen Lazard,WR,2022,7.66,114.9,-1.22,-18.3,8.88,15,95.7,8
Chase Edmonds,RB,2022,2.52,25.2,-3.92,-39.2,6.44,10,68.2,6
Rashaad Penny,RB,2022,6.41,96.2,-0.03,-0.4,6.44,15,60.6,6
Mark Andrews,TE,2022,7.72,115.8,2.62,39.3,5.1,15,23.3,2
Michael Gallup,WR,2022,5.71,85.6,-3.17,-47.6,8.88,15,155.0,13
Christian Kirk,WR,2022,10.08,151.2,1.2,18.0,8.88,15,101.3,9
Nick Chubb,RB,2022,10.02,150.3,3.58,53.7,6.44,15,14.6,2
Lamar Jackson,QB,2022,12.38,185.7,-3.02,-45.3,15.4,15,47.3,4
DJ Moore,WR,2022,6.46,96.9,-2.42,-36.3,8.88,15,40.8,4
Mike Gesicki,TE,2022,3.02,30.2,-2.08,-20.8,5.1,10,160.6,14
Saquon Barkley,RB,2022,15.5,232.5,9.06,135.9,6.44,15,15.4,2
Josh Allen,QB,2022,18.14,272.1,2.74,41.1,15.4,15,21.7,2
Jakobi Meyers,WR,2022,7.51,112.6,-1.37,-20.6,8.88,15,132.9,12
Alexander Mattison,RB,2022,1.51,15.1,-4.93,-49.3,6.44,10,95.8,8
