adp,Name,Pos,Team,Overall,Std.,High,Low
134,LA Rams Defense,DEF,LAR,131.5,17,5.06,14.01
135,Matt Ryan,QB,FA,132.9,12,9.1,15.01
136,Chase Claypool,WR,FA,133.7,10.6,9.01,13.08
137,Romeo Doubs,WR,GB,134.1,11.4,7.11,13.08
138,Hunter Henry,TE,NE,134.1,16.7,6.01,15.06
139,DeVante Parker,WR,FA,134.9,10.1,9.08,13.08
140,Justin Tucker,PK,FA,135.5,23.4,1.12,16.03
141,Justin Fields,QB,NYJ,138,15.7,8.12,15.08
142,Daniel Carlson,PK,LV,139.4,17.8,7.01,15.03
143,Rondale Moore,WR,FA,142.5,8.1,11.04,14.08
144,Trevor Lawrence,QB,JAX,142.9,13.4,9.12,15.09
145,Tampa Bay Defense,DEF,TB,143.5,13.1,9.11,14.1
146,Tyler Bass,PK,BUF,143.7,18.6,8.1,16.08
147,San Francisco Defense,DEF,SF,144.1,15,8.03,15.07
148,Indianapolis Defense,DEF,IND,145.6,18,9.01,16.1
149,Irv Smith Jr.,TE,FA,146,18.1,9.08,15.12
150,Robert Tonyan,TE,KC,147.9,17.9,8.06,15.12
151,Jameis Winston,QB,NYG,150.1,17.4,9.04,15.12
152,Isaiah McKenzie,WR,FA,152.6,16.4,9.05,15.11
153,LA Chargers Defense,DEF,LAC,153.7,18.4,9.01,17.08
154,Nico Collins,WR,HOU,153.8,14.2,10.04,15.12
155,Matt Gay,PK,FA,159.1,18.3,10.08,17.1
156,Dustin Hopkins,PK,FA,159.5,18.1,10.05,17.1
158,Cole Kmet,TE,CHI,146,16.7,9.03,15.12
159,Dalton Kincaid,TE,BUF,146.9,21.2,7.12,18.05
160,Jake Elliott,PK,PHI,148.9,17.5,9.11,16.09
161,Baltimore Defense,DEF,BAL,149.4,16.1,10.01,15.1
162,Tyjae Spears,RB,TEN,150.9,15.2,11.04,15.1
163,Matthew Stafford,QB,LAR,151,18.1,8.02,15.11
164,New Orleans Defense,DEF,NO,152,16.6,9.1,17.02
165,Jonathan Mingo,WR,DAL,152.1,20.6,11.01,17.12
166,Kenny Pickett,QB,LV,152.3,25.1,1.03,17.08
167,Denver Defense,DEF,DEN,152.3,13.2,10.06,15.06
168,Brock Purdy,QB,SF,152.5,33.6,4.05,18.05
169,Dawson Knox,TE,BUF,152.7,23.8,7.09,17.04
170,Sam LaPorta,TE,DET,152.9,20.3,9.04,18.01
171,Zamir White,RB,LV,153.7,14.1,10.01,15.11
172,Marvin Mims Jr.,WR,DEN,154.2,22.4,7.06,16.12
173,NY Jets Defense,DEF,NYJ,154.2,23,9.03,18.06
174,Gerald Everett,TE,FA,154.9,17.4,8.11,15.12
175,Jordan Love,QB,GB,155.5,23.1,8.06,17.08
176,Donovan Peoples-Jones,WR,FA,156,13.9,10.11,15.12
177,Wan'Dale Robinson,WR,NYG,157.2,12.5,11.09,15.12
178,Kyler Murray,QB,ARI,157.3,16.4,10.02,15.12
179,Jerome Ford,RB,CLE,157.4,16.1,10.01,15.12
180,Roschon Johnson,RB,CHI,157.7,23.2,6.01,18.04
181,Clyde Edwards-Helaire,RB,FA,157.9,14.9,10.11,15.12
182,Pittsburgh Defense,DEF,PIT,158,17.5,10.02,17.05
183,Miami Defense,DEF,MIA,158.7,17.7,10.04,17.09
184,Brandon McManus,PK,GB,158.8,14.6,10.1,15.12
185,Matt Gay,PK,FA,158.8,14.4,10.11,15.08
186,Hunter Renfrow,WR,FA,159.3,13.9,9.11,15.12
