player_id,player_name,position,season,metric,mean,std,p25,median,p75
00-0028118,Tyrod Taylor,QB,2021,attempts,25.0,12.083,15.75,25.0,31.25
00-0028118,Tyrod Taylor,QB,2021,passing_yards,161.0,90.3526,111.5,141.5,219.5
00-0028118,Tyrod Taylor,QB,2021,passing_tds,0.8333,0.9832,0.0,0.5,1.75
00-0028118,Tyrod Taylor,QB,2023,attempts,18.0,15.1731,4.75,14.0,31.25
00-0028118,Tyrod Taylor,QB,2023,passing_yards,134.1,130.5275,9.25,109.5,259.25
00-0028118,Tyrod Taylor,QB,2023,passing_tds,0.5,0.7071,0.0,0.0,1.0
00-0028118,Tyrod Taylor,QB,2025,attempts,22.3333,12.628,13.75,25.0,31.75
00-0028118,Tyrod Taylor,QB,2025,passing_yards,129.8333,84.3621,73.5,149.0,190.75
00-0028118,Tyrod Taylor,QB,2025,passing_tds,0.8333,0.7528,0.25,1.0,1.0
00-0028986,Case Keenum,QB,2021,attempts,14.4,13.975,3.0,12.0,24.0
00-0028986,Case Keenum,QB,2021,passing_yards,92.4,92.851,6.0,81.0,176.0
00-0028986,Case Keenum,QB,2021,passing_tds,0.6,0.8944,0.0,0.0,1.0
00-0029263,Russell Wilson,QB,2020,attempts,34.875,6.4278,30.25,34.5,37.75
00-0029263,Russell Wilson,QB,2020,passing_yards,263.25,76.3077,214.25,254.5,316.75
00-0029263,Russell Wilson,QB,2020,passing_tds,2.5,1.5492,1.0,2.0,4.0
00-0029263,Russell Wilson,QB,2021,attempts,28.5714,5.9963,26.0,28.5,31.0
00-0029263,Russell Wilson,QB,2021,passing_yards,222.3571,58.3446,166.0,233.5,252.25
00-0029263,Russell Wilson,QB,2021,passing_tds,1.7857,1.3114,1.0,2.0,2.0
00-0029263,Russell Wilson,QB,2022,attempts,32.2,6.383,27.5,31.0,37.0
00-0029263,Russell Wilson,QB,2022,passing_yards,234.9333,49.6221,201.5,237.0,263.0
00-0029263,Russell Wilson,QB,2022,passing_tds,1.0667,0.9612,0.5,1.0,1.0
00-0029263,Russell Wilson,QB,2023,attempts,29.8,5.6214,27.0,31.0,33.5
00-0029263,Russell Wilson,QB,2023,passing_yards,204.6667,61.3743,181.5,196.0,231.0
00-0029263,Russell Wilson,QB,2023,passing_tds,1.7333,0.7988,1.0,2.0,2.0
00-0029263,Russell Wilson,QB,2024,attempts,30.5455,4.9873,28.0,29.0,34.5
00-0029263,Russell Wilson,QB,2024,passing_yards,225.6364,79.7888,176.5,205.0,267.0
00-0029263,Russell Wilson,QB,2024,passing_tds,1.4545,1.0357,1.0,1.0,2.0
00-0029263,Russell Wilson,QB,2025,attempts,19.8333,18.7874,2.5,19.5,35.75
00-0029263,Russell Wilson,QB,2025,passing_yards,138.5,169.3042,17.25,102.5,166.0
00-0029263,Russell Wilson,QB,2025,passing_tds,0.5,1.2247,0.0,0.0,0.0
00-0029567,Nick Foles,QB,2020,attempts,34.6667,14.7309,29.0,40.0,42.0
00-0029567,Nick Foles,QB,2020,passing_yards,205.7778,100.0397,188.0,243.0,261.0
00-0029567,Nick Foles,QB,2020,passing_tds,1.1111,1.0541,0.0,1.0,2.0
00-0029604,Kirk Cousins,QB,2020,attempts,32.25,9.0591,25.75,35.5,39.25
00-0029604,Kirk Cousins,QB,2020,passing_yards,266.5625,68.8563,243.0,265.5,305.5
00-0029604,Kirk Cousins,QB,2020,passing_tds,2.1875,0.9811,1.75,2.5,3.0
