player_name,position,adp,adp_prev,adp_change,trend
Caleb Williams,QB,68.5,68.6,0.1,~
Alec Pierce,WR,68.8,70.4,1.6,+  
Jalen Hurts,QB,69.6,69.4,-0.2,~
Jordyn Tyson,WR,70.8,69.0,-1.8,- 
Drake Maye,QB,71.9,71.7,-0.2,~
Parker Washington,WR,72.9,73.2,0.3,~
Chuba Hubbard,RB,73.8,77.3,3.5,++ 
Courtland Sutton,WR,74.3,73.7,-0.6,~
DK Metcalf,WR,76.9,75.6,-1.3,- 
Michael Wilson,WR,77.5,77.6,0.1,~
Jaylen Warren,RB,78.1,76.4,-1.7,- 
Rhamondre Stevenson,RB,79.2,79.6,0.4,~
Harold Fannin,TE,80.4,79.4,-1.0,~
Dak Prescott,QB,80.6,81.0,0.4,~
Justin Herbert,QB,82.6,82.9,0.3,~
Trevor Lawrence,QB,83.9,84.6,0.7,~
Ricky Pearsall,WR,85.2,82.8,-2.4,- 
Jaxson Dart,QB,86.5,85.1,-1.4,- 
Jordan Addison,WR,87.1,88.8,1.7,+  
Jakobi Meyers,WR,87.2,86.6,-0.6,~
Tyler Allgeier,RB,87.5,87.5,-0.0,~
Tucker Kraft,TE,89.2,88.6,-0.6,~
Patrick Mahomes,QB,89.3,90.5,1.2,+  
Rico Dowdle,RB,91.3,92.4,1.1,+  
Chris Godwin,WR,91.4,94.4,3.0,+  
Kyle Monangai,RB,93.4,92.3,-1.1,- 
Brock Purdy,QB,94.6,95.2,0.6,~
Romeo Doubs,WR,95.7,103.8,8.1,++ 
Bo Nix,QB,97.1,98.3,1.2,+  
Michael Pittman Jr.,WR,97.5,96.2,-1.3,- 
Kyle Pitts,TE,99.0,97.1,-1.9,- 
Blake Corum,RB,99.8,98.8,-1.0,~
Quentin Johnston,WR,101.4,99.5,-1.9,- 
Sam LaPorta,TE,101.6,100.4,-1.2,- 
Matthew Stafford,QB,102.3,101.2,-1.1,- 
J.K. Dobbins,RB,102.3,107.9,5.6,++ 
Wan'Dale Robinson,WR,102.4,103.2,0.8,~
Tony Pollard,RB,105.1,102.6,-2.5,- 
Jared Goff,QB,105.4,105.5,0.1,~
Jayden Reed,WR,105.6,107.1,1.5,+  
Kyler Murray,QB,106.1,109.0,2.9,+  
Jadarian Price,RB,108.3,104.8,-3.5,--
Jordan Love,QB,109.1,108.7,-0.4,~
Xavier Worthy,WR,109.2,107.0,-2.2,- 
Baker Mayfield,QB,111.5,111.9,0.4,~
Oronde Gadsden,TE,112.2,111.0,-1.2,- 
Kenneth Gainwell,RB,114.5,114.6,0.1,~
Jalen Coker,WR,116.6,117.1,0.5,~
KC Concepcion,WR,117.1,123.9,6.8,++ 
Tyler Shough,QB,118.6,118.8,0.2,~
Jordan Mason,RB,119.8,118.9,-0.9,~
Dalton Kincaid,TE,119.9,117.6,-2.3,- 
Josh Downs,WR,121.3,126.2,4.9,++ 
Matthew Golden,WR,121.8,120.4,-1.4,- 
George Kittle,TE,123.1,123.5,0.4,~
Malik Willis,QB,123.9,122.5,-1.4,- 
Jayden Higgins,WR,125.2,126.8,1.6,+  
Rachaad White,RB,125.9,128.5,2.6,+  
Khalil Shakir,WR,126.8,124.6,-2.2,- 
Jake Ferguson,TE,128.0,128.2,0.2,~
Jonah Coleman,RB,129.2,125.9,-3.3,--
Sam Darnold,QB,129.5,130.4,0.9,~
Kenyon Sadiq,TE,131.2,126.1,-5.1,--
Jalen McMillan,WR,132.4,136.5,4.1,++ 
Mike Washington Jr.,RB,133.1,134.9,1.8,+  
Travis Kelce,TE,133.3,139.1,5.8,++ 
C.J. Stroud,QB,135.5,135.8,0.3,~
Jauan Jennings,WR,136.0,129.8,-6.2,--
Dallas Goedert,TE,137.2,138.5,1.3,+  
Aaron Jones,RB,137.4,142.5,5.1,++ 
Denzel Boston,WR,137.7,133.8,-3.9,--
Jacory Croskey-Merritt,RB,139.6,134.5,-5.1,--
Chris Rodriguez,RB,140.0,145.1,5.1,++ 
Rashid Shaheed,WR,141.4,139.4,-2.0,- 
Cam Ward,QB,141.7,142.6,0.9,~
Omar Cooper Jr.,WR,142.4,149.2,6.8,++ 
Isaiah Likely,TE,142.6,146.7,4.1,++ 
Daniel Jones,QB,144.5,147.7,3.2,++ 
Zach Charbonnet,RB,146.1,144.4,-1.7,- 
Bryce Young,QB,147.1,146.4,-0.7,~
Mark Andrews,TE,147.3,149.7,2.4,+  
Tyrone Tracy,RB,149.0,144.1,-4.9,--
Fernando Mendoza,QB,149.8,148.7,-1.1,- 
Jonathon Brooks,RB,150.1,153.4,3.3,++ 
Stefon Diggs,WR,150.4,141.7,-8.7,--
Brenton Strange,TE,150.7,146.6,-4.1,--
Travis Hunter,WR,153.6,153.9,0.3,~
Brandon Aiyuk,WR,154.3,151.9,-2.4,- 
Keaton Mitchell,RB,155.2,157.5,2.3,+  
Juwan Johnson,TE,156.5,155.7,-0.8,~
Jacoby Brissett,QB,157.2,159.9,2.7,+  
Jerry Jeudy,WR,160.8,161.5,0.7,~
Deebo Samuel,WR,161.0,156.3,-4.7,--
Hunter Henry,TE,161.1,161.7,0.6,~
James Conner,RB,161.7,157.8,-3.9,--
Chig Okonkwo,TE,161.9,165.9,4.0,++ 
Woody Marks,RB,162.8,159.2,-3.6,--
Emanuel Wilson,RB,164.9,169.9,5.0,++ 
Emmett Johnson,RB,166.8,164.0,-2.8,- 
Isiah Pacheco,RB,167.8,169.0,1.2,+  
Kayshon Boutte,WR,169.1,167.3,-1.8,- 
Adonai Mitchell,WR,169.9,172.2,2.3,+  
Geno Smith,QB,170.9,175.8,4.9,++ 
Calvin Ridley,WR,172.3,173.3,1.0,~
Isaac TeSlaa,WR,172.9,173.7,0.8,~
AJ Barner,TE,173.8,174.3,0.5,~
Jalen Nailor,WR,174.9,176.5,1.6,+  
T.J. Hockenson,TE,175.3,176.3,1.0,~
Tyreek Hill,WR,175.9,168.2,-7.7,--
Tyjae Spears,RB,176.8,171.8,-5.0,--
Dylan Sampson,RB,178.4,180.2,1.8,+  
Dalton Schultz,TE,178.7,178.2,-0.5,~
Tank Dell,WR,179.2,178.3,-0.9,~
Tre' Harris,WR,182.2,181.3,-0.9,~
Brian Robinson,RB,183.2,198.1,14.9,++ 
Eli Stowers,TE,183.3,185.7,2.4,+  
Sean Tucker,RB,185.2,182.2,-3.0,- 
Tank Bigsby,RB,185.8,186.9,1.1,+  
Darnell Mooney,WR,186.2,189.4,3.2,++ 
Christian Kirk,WR,186.9,194.9,8.0,++ 
Malik Washington,WR,189.1,192.6,3.5,++ 
Chimere Dike,WR,189.5,185.3,-4.2,--
David Njoku,TE,192.3,189.5,-2.8,- 
Nicholas Singleton,RB,192.9,197.8,4.9,++ 
Tre Tucker,WR,193.0,191.2,-1.8,- 
Alvin Kamara,RB,193.4,190.8,-2.6,- 
Mason Taylor,TE,193.7,195.7,2.0,+  
Tua Tagovailoa,QB,195.7,199.1,3.4,++ 
Cade Otton,TE,197.1,197.2,0.1,~
Gunnar Helm,TE,199.5,201.1,1.6,+  
Braelon Allen,RB,200.0,199.3,-0.7,~
Pat Bryant,WR,202.9,191.7,-11.2,--
Kimani Vidal,RB,203.8,197.8,-6.0,--
Aaron Rodgers,QB,203.9,210.7,6.8,++ 
Elijah Sarratt,WR,204.4,205.4,1.0,~
Ryan Flournoy,WR,204.5,206.2,1.7,+  
Chris Brazzell II,WR,205.3,211.2,5.9,++ 
Terrance Ferguson,TE,207.3,207.5,0.2,~
Kaytron Allen,RB,207.9,204.3,-3.6,--
Pat Freiermuth,TE,209.0,210.9,1.9,+  
Troy Franklin,WR,209.2,196.7,-12.5,--
Ray Davis,RB,210.3,209.8,-0.5,~
Trey Benson,RB,210.9,190.5,-20.4,--
Hollywood Brown,WR,211.5,211.9,0.4,~
Germie Bernard,WR,212.8,218.6,5.8,++ 
Tory Horton,WR,213.2,210.5,-2.7,- 
Zachariah Branch,WR,213.2,212.7,-0.5,~
Jordan James,RB,214.5,234.0,19.5,++ 
Najee Harris,RB,215.6,229.5,13.9,++ 
Michael Penix,QB,217.0,210.7,-6.3,--
Jake Tonges,TE,219.9,217.4,-2.5,- 
Elic Ayomanor,WR,222.6,221.9,-0.7,~
Ollie Gordon,RB,223.3,220.4,-2.9,- 
Ty Simpson,QB,223.7,230.3,6.6,++ 
Devaughn Vele,WR,224.6,223.3,-1.3,- 
Colby Parkinson,TE,225.4,225.3,-0.1,~
Kyle Williams,WR,226.4,225.0,-1.4,- 
George Holani,RB,226.5,218.9,-7.6,--
Shedeur Sanders,QB,227.2,225.0,-2.2,- 
Tez Johnson,WR,230.1,230.6,0.5,~
Chris Bell,WR,230.4,235.1,4.7,++ 
Cooper Kupp,WR,230.8,230.1,-0.7,~
Ted Hurst,WR,230.8,235.9,5.1,++ 
Mike Gesicki,TE,230.9,232.1,1.2,+  
Justice Hill,RB,231.2,232.7,1.5,+  
Jaydon Blue,RB,231.5,229.1,-2.4,- 
Demond Claiborne,RB,233.4,228.6,-4.8,--
Rashod Bateman,WR,233.7,233.0,-0.7,~
Ja'Kobi Lane,WR,233.8,227.9,-5.9,--
Theo Johnson,TE,233.9,231.6,-2.3,- 
Jaylin Noel,WR,234.0,231.1,-2.9,- 
Dontayvion Wicks,WR,234.2,232.2,-2.0,- 
Justin Fields,QB,234.3,230.0,-4.3,--
Deshaun Watson,QB,235.1,238.1,3.0,+  
Emari Demercado,RB,235.2,233.1,-2.1,- 
Jalen Tolbert,WR,235.2,233.4,-1.8,- 
Greg Dulcich,TE,235.4,235.2,-0.2,~
Antonio Williams,WR,235.8,237.4,1.6,+  
Evan Engram,TE,236.0,236.0,-0.0,~
Jahan Dotson,WR,236.6,238.3,1.7,+  
Keenan Allen,WR,236.7,236.6,-0.1,~
Keon Coleman,WR,236.7,234.4,-2.3,- 
Adam Randall,RB,237.2,236.7,-0.5,~
DJ Giddens,RB,237.3,238.3,1.0,~
Tyquan Thornton,WR,237.8,236.7,-1.1,- 
Jaylen Wright,RB,237.9,236.9,-1.0,~
Joe Mixon,RB,238.0,237.7,-0.3,~
LeQuint Allen,RB,238.4,235.9,-2.5,- 
Seth McGowan,RB,238.4,238.8,0.4,~
Malachi Fields,WR,238.5,239.3,0.8,~
Darius Slayton,WR,238.5,237.9,-0.6,~
Chris Brooks,RB,238.6,239.4,0.8,~
Darnell Washington,TE,238.6,238.4,-0.2,~
Skyler Bell,WR,238.7,239.0,0.3,~
Kirk Cousins,QB,238.8,239.4,0.6,~
Mac Jones,QB,238.8,238.6,-0.2,~
Michael Mayer,TE,238.8,239.6,0.8,~
Mack Hollins,WR,238.9,238.5,-0.4,~
Andrei Iosivas,WR,238.9,239.2,0.3,~
Jack Bech,WR,238.9,238.8,-0.1,~
Kendrick Bourne,WR,238.9,239.5,0.6,~
Isaiah Bond,WR,239.0,239.0,-0.0,~
Kaleb Johnson,RB,239.1,239.1,-0.0,~
Elijah Arroyo,TE,239.2,239.2,-0.0,~
Isaac Guerendo,RB,239.2,239.8,0.6,~
J.J. McCarthy,QB,239.2,238.9,-0.3,~
Bryce Lance,WR,239.3,239.4,0.1,~
Dawson Knox,TE,239.3,238.8,-0.5,~
Cole Kmet,TE,239.4,239.4,-0.0,~
Devin Neal,RB,239.4,239.6,0.2,~
Tutu Atwell,WR,239.4,238.3,-1.1,- 
Ty Johnson,RB,239.4,238.4,-1.0,~
Tyler Higbee,TE,239.5,239.8,0.3,~
Xavier Legette,WR,239.5,239.4,-0.1,~
Olamide Zaccheaus,WR,239.5,238.9,-0.6,~
Oscar Delp,TE,239.5,239.9,0.4,~
MarShawn Lloyd,RB,239.5,239.3,-0.2,~
Brashard Smith,RB,239.5,239.4,-0.1,~
Max Klare,TE,239.5,239.1,-0.4,~
Devontez Walker,WR,239.5,239.6,0.1,~
DeMario Douglas,WR,239.6,239.8,0.2,~
Ja'Tavion Sanders,TE,239.6,239.2,-0.4,~
Kalif Raymond,WR,239.6,239.9,0.3,~
Luke McCaffrey,WR,239.6,239.8,0.2,~
Samaje Perine,RB,239.6,239.8,0.2,~
Malik Davis,RB,239.7,239.9,0.2,~
Tahj Brooks,RB,239.7,239.8,0.1,~
Sam Roush,TE,239.7,239.8,0.1,~
Michael Trigg,TE,239.7,239.8,0.1,~
Marvin Mims Jr.,WR,239.7,238.7,-1.0,~
Jaylin Lane,WR,239.7,239.6,-0.1,~
Gardner Minshew II,QB,239.7,239.9,0.2,~
Dresser Winn,QB,239.7,239.7,-0.0,~
Chris Oladokun,QB,239.7,239.7,-0.0,~
Anthony Richardson,QB,239.7,239.4,-0.3,~
Trevor Etienne,RB,239.8,239.7,-0.1,~
Tanner Conner,TE,239.8,239.8,-0.0,~
KeAndre Lambert-Smith,WR,239.8,239.9,0.1,~
Kareem Hunt,RB,239.8,239.7,-0.1,~
Kaelon Black,RB,239.8,240.0,0.2,~
Kaden Davis,WR,239.8,239.8,-0.0,~
KaVontae Turpin,WR,239.8,239.9,0.1,~
Treylon Burks,WR,239.8,239.3,-0.5,~
John Metchie III,WR,239.8,239.8,-0.0,~
Jerome Ford,RB,239.8,238.8,-1.0,~
Jalen Milroe,QB,239.8,239.9,0.1,~
J'Mari Taylor,RB,239.8,239.6,-0.2,~
Isaiah Hodgins,WR,239.8,239.8,-0.0,~
Hendon Hooker,QB,239.8,239.8,-0.0,~
Calvin Austin III,WR,239.8,239.4,-0.4,~
Joe Flacco,QB,239.8,240.0,0.2,~
Nick Westbrook-Ikhine,WR,239.9,240.0,0.1,~
Noah Fant,TE,239.9,239.7,-0.2,~
Odell Beckham Jr.,WR,239.9,240.0,0.1,~
Quinn Ewers,QB,239.9,239.9,-0.0,~
Riley Leonard,QB,239.9,240.0,0.1,~
Roman Hemby,RB,239.9,239.8,-0.1,~
Savion Williams,WR,239.9,239.8,-0.1,~
Tai Felton,WR,239.9,240.0,0.1,~
Ty Chandler,RB,239.9,239.9,-0.0,~
Treyton Welch,TE,239.9,239.9,-0.0,~
Tylan Wallace,WR,239.9,239.9,-0.0,~
Tyler Huntley,QB,239.9,240.0,0.1,~
Will Howard,QB,239.9,240.0,0.1,~
Will Shipley,RB,239.9,239.9,-0.0,~
Zach Ertz,TE,239.9,240.0,0.1,~
Mitchell Evans,TE,239.9,240.0,0.1,~
Terion Stewart,RB,239.9,240.0,0.1,~
Michael Jacobson,TE,239.9,239.9,-0.0,~
Tyler Conklin,TE,239.9,240.0,0.1,~
Mason Rudolph,QB,239.9,239.9,-0.0,~
Michael Carter,RB,239.9,239.9,-0.0,~
Charlie Kolar,TE,239.9,239.6,-0.3,~
Cody White,WR,239.9,239.9,-0.0,~
De'Zhaun Stribling,WR,239.9,240.0,0.1,~
Dont'e Thornton,WR,239.9,239.8,-0.1,~
Elijah Moore,WR,239.9,240.0,0.1,~
Erick All,TE,239.9,240.0,0.1,~
Greg Dortch,WR,239.9,239.9,-0.0,~
Demarcus Robinson,WR,239.9,240.0,0.1,~
Jam Miller,RB,239.9,239.8,-0.1,~
Jarquez Hunter,RB,239.9,239.9,-0.0,~
Jaydn Ott,RB,239.9,239.8,-0.1,~
Joe Milton,QB,239.9,240.0,0.1,~
Kenny McIntosh,RB,239.9,239.9,-0.0,~
Le'Veon Moss,RB,239.9,239.9,-0.0,~
Isaiah Davis,RB,239.9,239.7,-0.2,~
Marlin Klein,TE,239.9,240.0,0.1,~
Luke Musgrave,TE,240.0,239.8,-0.2,~
Luke Schoonmaker,TE,240.0,240.0,-0.0,~
Malachi Corley,WR,240.0,240.0,-0.0,~
Malik Flowers,WR,240.0,239.9,-0.1,~
Marcus Mariota,QB,240.0,239.9,-0.1,~
Miles Sanders,RB,240.0,240.0,-0.0,~
Mathew Sexton,WR,240.0,240.0,-0.0,~
Mitch Tinsley,WR,240.0,240.0,-0.0,~
Lewis Bond,WR,240.0,240.0,-0.0,~
Mo Alie-Cox,TE,240.0,240.0,-0.0,~
Mason Tipton,WR,240.0,240.0,-0.0,~
Lew Nichols,RB,240.0,240.0,-0.0,~
Justin Joly,TE,240.0,240.0,-0.0,~
La'Mical Perine,RB,240.0,240.0,-0.0,~
Kyle Allen,QB,240.0,240.0,-0.0,~
Konata Mumpfield,WR,240.0,239.9,-0.1,~
Kevin Austin,WR,240.0,240.0,-0.0,~
Kendre Miller,RB,240.0,240.0,-0.0,~
Kalel Mullings,RB,240.0,240.0,-0.0,~
Nathan Carter,RB,240.0,240.0,-0.0,~
Joshua Palmer,WR,240.0,240.0,-0.0,~
Josh Oliver,TE,240.0,240.0,-0.0,~
Josh Johnson,QB,240.0,240.0,-0.0,~
Jordan Whittington,WR,240.0,240.0,-0.0,~
LaJohntay Wester,WR,240.0,240.0,-0.0,~
Nick Chubb,RB,240.0,240.0,-0.0,~
Roman Wilson,WR,240.0,240.0,-0.0,~
Noah Gray,TE,240.0,240.0,-0.0,~
Xavier Hutchinson,WR,240.0,240.0,-0.0,~
Will Levis,QB,240.0,240.0,-0.0,~
Van Jefferson,WR,240.0,240.0,-0.0,~
Tyson Bagent,QB,240.0,240.0,-0.0,~
Tyrell Shavers,WR,240.0,240.0,-0.0,~
Tyler Scott,WR,240.0,240.0,-0.0,~
Trishton Jackson,WR,240.0,240.0,-0.0,~
Trinidad Chambliss,QB,240.0,240.0,-0.0,~
Travis Homer,RB,240.0,239.9,-0.1,~
Tommy Tremble,TE,240.0,239.9,-0.1,~
Theo Wease,WR,240.0,239.9,-0.1,~
Teddy Bridgewater,QB,240.0,239.9,-0.1,~
Taysom Hill,TE,240.0,240.0,-0.0,~
Taylen Green,QB,240.0,239.6,-0.4,~
Tanner McKee,QB,240.0,240.0,-0.0,~
Tanner Koziol,TE,240.0,239.9,-0.1,~
Spencer Rattler,QB,240.0,239.9,-0.1,~
Sione Vaki,RB,240.0,240.0,-0.0,~
Sam Howell,QB,240.0,240.0,-0.0,~
Jordan Watkins,WR,240.0,240.0,-0.0,~
Rasheen Ali,RB,240.0,239.9,-0.1,~
Rahsul Faison,RB,240.0,240.0,-0.0,~
Raheim Sanders,RB,240.0,240.0,-0.0,~
Phil Mafah,RB,240.0,240.0,-0.0,~
Noah Whittington,RB,240.0,240.0,-0.0,~
Nick Mullens,QB,240.0,240.0,-0.0,~
Jonnu Smith,TE,240.0,240.0,-0.0,~
Jacob Cowing,WR,240.0,240.0,-0.0,~
Jeremy McNichols,RB,240.0,240.0,-0.0,~
Daniel Bellinger,TE,240.0,240.0,-0.0,~
Damien Martinez,RB,240.0,240.0,-0.0,~
Dallen Bentley,TE,240.0,240.0,-0.0,~
Cole Payton,QB,240.0,240.0,-0.0,~
Colbie Young,WR,240.0,240.0,-0.0,~
Chip Trayanum,RB,240.0,240.0,-0.0,~
Chase Claypool,WR,240.0,240.0,-0.0,~
Cedric Tillman,WR,240.0,239.9,-0.1,~
Carson Wentz,QB,240.0,240.0,-0.0,~
Carson Beck,QB,240.0,240.0,-0.0,~
Caleb Douglas,WR,240.0,240.0,-0.0,~
Cade Stover,TE,240.0,240.0,-0.0,~
CJ Daniels,WR,240.0,240.0,-0.0,~
Brevyn Spann-Ford,TE,240.0,240.0,-0.0,~
Brenen Thompson,WR,240.0,239.9,-0.1,~
Ben Skowronek,WR,240.0,240.0,-0.0,~
Ben Sinnott,TE,240.0,240.0,-0.0,~
Austin Hooper,TE,240.0,240.0,-0.0,~
Austin Ekeler,RB,240.0,240.0,-0.0,~
Audric Estime,RB,240.0,240.0,-0.0,~
Ashton Dulin,WR,240.0,240.0,-0.0,~
Andrew Armstrong,WR,240.0,240.0,-0.0,~
Adam Trautman,TE,240.0,240.0,-0.0,~
AJ Dillon,RB,240.0,240.0,-0.0,~
Xavier Smith,WR,240.0,240.0,-0.0,~
Darius Cooper,WR,240.0,240.0,-0.0,~
Jimmy Horn,WR,240.0,240.0,-0.0,~
Darren Waller,TE,240.0,239.9,-0.1,~
Davis Mills,QB,240.0,240.0,-0.0,~
Jawhar Jordan,RB,240.0,239.9,-0.1,~
Jarrett Stidham,QB,240.0,240.0,-0.0,~
Jameis Winston,QB,240.0,240.0,-0.0,~
Jalen Royals,WR,240.0,240.0,-0.0,~
Jaleel McLaughlin,RB,240.0,240.0,-0.0,~
Jake Bobo,WR,240.0,240.0,-0.0,~
Jack Endries,TE,240.0,240.0,-0.0,~
Ja'Lynn Polk,WR,240.0,240.0,-0.0,~
Isaiah Williams,WR,240.0,240.0,-0.0,~
Grant Calcaterra,TE,240.0,240.0,-0.0,~
Garrett Nussmeier,QB,240.0,240.0,-0.0,~
Foster Moreau,TE,240.0,240.0,-0.0,~
Eric McAlister,WR,240.0,239.9,-0.1,~
Elijah Higgins,TE,240.0,240.0,-0.0,~
Eli Raridon,TE,240.0,240.0,-0.0,~
Efton Chism,WR,240.0,240.0,-0.0,~
Dylan Laube,RB,240.0,240.0,-0.0,~
Dyami Brown,WR,240.0,239.9,-0.1,~
Drew Allar,QB,240.0,239.7,-0.3,~
Devin Singletary,RB,240.0,239.9,-0.1,~
Devin Culp,TE,240.0,240.0,-0.0,~
Desmond Reid,RB,240.0,240.0,-0.0,~
Deion Burks,WR,240.0,240.0,-0.0,~
Dean Conners,RB,240.0,240.0,-0.0,~
DeAndre Hopkins,WR,240.0,240.0,-0.0,~
David Sills,WR,240.0,240.0,-0.0,~
Zavier Scott,RB,240.0,240.0,-0.0,~
