attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_ppr_projected,player_id,player_name,position,team,age,age_multiplier,projection_confidence,games_recent,games,fpts_ppr_actual,error,abs_error,pct_error
,,0.0,0.0,0.0,180.0,704.0,7.2,78.0,59.0,464.0,2.3,232.8,00-0033699,Austin Ekeler,RB,LAC,29.0,0.76,High,14,15,159.6,73.20000000000002,73.20000000000002,45.9
,,0.0,0.0,0.0,20.0,73.0,0.3,12.0,7.0,47.0,0.4,23.2,00-0033854,Dare Ogunbowale,RB,HOU,30.0,0.65,Low,7,17,58.400000000000006,-35.2,35.2,-60.3
,,0.0,0.0,0.0,0.0,0.0,0.0,66.0,44.0,427.0,1.7,96.9,00-0033857,JuJu Smith-Schuster,WR,NE,28.0,1.02,Medium,11,14,64.7,32.2,32.2,49.8
,,0.0,0.0,0.0,0.0,0.0,0.0,87.0,61.0,669.0,3.4,148.3,00-0033858,Jonnu Smith,TE,ATL,29.0,1.02,High,15,17,222.3,-74.0,74.0,-33.3
683.0,462.0,5053.0,36.0,12.6,442.0,415.0,1.4,0.0,0.0,0.0,0.0,370.8,00-0033873,Patrick Mahomes,QB,KC,29.0,1.03,High,20,19,348.38,22.420000000000016,22.420000000000016,6.4
,,0.0,0.0,0.0,0.0,0.0,0.0,136.0,103.0,927.0,4.2,220.9,00-0033881,Evan Engram,TE,JAX,30.0,1.0,High,17,9,89.5,131.4,131.4,146.8
,,0.0,0.0,0.0,0.0,0.0,0.0,139.0,94.0,1051.0,6.7,239.3,00-0033885,David Njoku,TE,CLE,28.0,1.02,High,17,11,148.5,90.80000000000001,90.80000000000001,61.1
,,0.0,0.0,0.0,0.0,0.0,0.0,104.0,61.0,610.0,3.6,143.6,00-0033891,Zay Jones,WR,JAX,29.0,0.98,Medium,9,6,16.400000000000002,127.19999999999999,127.19999999999999,775.6
,,0.0,0.0,0.0,0.0,0.0,0.0,68.0,48.0,435.0,3.1,110.1,00-0033895,Gerald Everett,TE,LAC,30.0,1.0,High,15,9,11.6,98.5,98.5,849.1
,,0.0,0.0,0.0,204.0,809.0,6.9,58.0,47.0,336.0,1.7,213.1,00-0033897,Joe Mixon,RB,CIN,28.0,0.86,High,17,16,275.4,-62.29999999999998,62.29999999999998,-22.6
