player_name,position,pos_rank,adp,adp_prev,adp_change,snapshot_date,team,fpts_ppr,model_overall_rank,model_pos_rank_str,value_score
Jaxson Dart,QB,QB11,86.5,85.1,-1.4,2026-04-01,NYG,288.7,18.0,QB11,68.5
Jordan Addison,WR,WR41,87.1,88.8,1.7,2026-04-01,MIN,144.6,124.0,WR38,-36.9
Jakobi Meyers,WR,WR42,87.2,86.6,-0.6,2026-04-01,JAX,127.3,147.0,WR48,-59.8
Tyler Allgeier,RB,RB30,87.5,87.5,-0.0,2026-04-01,ATL,123.8,152.0,RB40,-64.5
Tucker Kraft,TE,TE6,89.2,88.6,-0.6,2026-04-01,GB,151.6,114.0,TE9,-24.8
Patrick Mahomes,QB,QB12,89.3,90.5,1.2,2026-04-01,KC,323.0,7.0,QB3,82.3
Rico Dowdle,RB,RB31,91.3,92.4,1.1,2026-04-01,CAR,161.9,104.0,RB24,-12.7
Chris Godwin,WR,WR43,91.4,94.4,3.0,2026-04-01,,,,,
Kyle Monangai,RB,RB32,93.4,92.3,-1.1,2026-04-01,CHI,111.8,169.0,RB44,-75.6
Brock Purdy,QB,QB13,94.6,95.2,0.6,2026-04-01,SF,306.4,11.0,QB6,83.6
Romeo Doubs,WR,WR44,95.7,103.8,8.1,2026-04-01,GB,142.6,128.0,WR41,-32.3
Bo Nix,QB,QB14,97.1,98.3,1.2,2026-04-01,DEN,316.1,8.0,QB4,89.1
Michael Pittman Jr.,WR,WR45,97.5,96.2,-1.3,2026-04-01,,,,,
Kyle Pitts,TE,TE7,99.0,97.1,-1.9,2026-04-01,ATL,202.0,61.0,TE2,38.0
Blake Corum,RB,RB33,99.8,98.8,-1.0,2026-04-01,LA,94.5,199.0,RB48,-99.2
Quentin Johnston,WR,WR46,101.4,99.5,-1.9,2026-04-01,LAC,166.7,98.0,WR29,3.4
Sam LaPorta,TE,TE8,101.6,100.4,-1.2,2026-04-01,DET,134.7,140.0,TE12,-38.4
J.K. Dobbins,RB,RB34,102.3,107.9,5.6,2026-04-01,DEN,151.8,113.0,RB27,-10.7
Matthew Stafford,QB,QB15,102.3,101.2,-1.1,2026-04-01,LA,189.0,71.0,QB35,31.3
Wan'Dale Robinson,WR,WR47,102.4,103.2,0.8,2026-04-01,NYG,221.5,50.0,WR15,52.4
Tony Pollard,RB,RB35,105.1,102.6,-2.5,2026-04-01,TEN,133.8,142.0,RB33,-36.9
Jared Goff,QB,QB16,105.4,105.5,0.1,2026-04-01,DET,292.9,17.0,QB10,88.4
Jayden Reed,WR,WR48,105.6,107.1,1.5,2026-04-01,,,,,
Kyler Murray,QB,QB17,106.1,109.0,2.9,2026-04-01,,,,,
Jadarian Price,RB,RB36,108.3,104.8,-3.5,2026-04-01,,,,,
Jordan Love,QB,QB18,109.1,108.7,-0.4,2026-04-01,GB,268.3,28.0,QB18,81.1
Xavier Worthy,WR,WR49,109.2,107.0,-2.2,2026-04-01,KC,96.5,194.0,WR69,-84.8
Baker Mayfield,QB,QB19,111.5,111.9,0.4,2026-04-01,TB,278.7,27.0,QB17,84.5
Oronde Gadsden,TE,TE9,112.2,111.0,-1.2,2026-04-01,,,,,
Kenneth Gainwell,RB,RB37,114.5,114.6,0.1,2026-04-01,PIT,144.6,123.0,RB29,-8.5
Jalen Coker,WR,WR50,116.6,117.1,0.5,2026-04-01,CAR,134.4,141.0,WR47,-24.4
KC Concepcion,WR,WR51,117.1,123.9,6.8,2026-04-01,,,,,
Tyler Shough,QB,QB20,118.6,118.8,0.2,2026-04-01,NO,241.3,40.0,QB23,78.6
Jordan Mason,RB,RB38,119.8,118.9,-0.9,2026-04-01,MIN,127.0,149.0,RB37,-29.2
Dalton Kincaid,TE,TE10,119.9,117.6,-2.3,2026-04-01,BUF,105.3,181.0,TE26,-61.1
Josh Downs,WR,WR52,121.3,126.2,4.9,2026-04-01,IND,146.7,119.0,WR35,2.3
Matthew Golden,WR,WR53,121.8,120.4,-1.4,2026-04-01,GB,73.7,234.0,WR89,-112.2
George Kittle,TE,TE11,123.1,123.5,0.4,2026-04-01,SF,177.4,84.0,TE4,39.1
Malik Willis,QB,QB21,123.9,122.5,-1.4,2026-04-01,,,,,
Jayden Higgins,WR,WR54,125.2,126.8,1.6,2026-04-01,HOU,117.8,162.0,WR52,-36.8
Rachaad White,RB,RB39,125.9,128.5,2.6,2026-04-01,TB,99.8,191.0,RB47,-65.1
Khalil Shakir,WR,WR55,126.8,124.6,-2.2,2026-04-01,BUF,135.5,138.0,WR46,-11.2
Jake Ferguson,TE,TE12,128.0,128.2,0.2,2026-04-01,DAL,165.3,103.0,TE6,25.0
Jonah Coleman,RB,RB40,129.2,125.9,-3.3,2026-04-01,,,,,
Sam Darnold,QB,QB22,129.5,130.4,0.9,2026-04-01,SEA,250.6,36.0,QB21,93.5
Kenyon Sadiq,TE,TE13,131.2,126.1,-5.1,2026-04-01,,,,,
Jalen McMillan,WR,WR56,132.4,136.5,4.1,2026-04-01,,,,,
Mike Washington Jr.,RB,RB41,133.1,134.9,1.8,2026-04-01,,,,,
Travis Kelce,TE,TE14,133.3,139.1,5.8,2026-04-01,KC,118.9,161.0,TE17,-27.7
C.J. Stroud,QB,QB23,135.5,135.8,0.3,2026-04-01,HOU,227.3,44.0,QB24,91.5
Jauan Jennings,WR,WR57,136.0,129.8,-6.2,2026-04-01,SF,187.2,75.0,WR20,61.0
Dallas Goedert,TE,TE15,137.2,138.5,1.3,2026-04-01,PHI,140.7,130.0,TE11,7.2
Aaron Jones,RB,RB42,137.4,142.5,5.1,2026-04-01,MIN,60.7,265.0,RB64,-127.6
Denzel Boston,WR,WR58,137.7,133.8,-3.9,2026-04-01,,,,,
Jacory Croskey-Merritt,RB,RB43,139.6,134.5,-5.1,2026-04-01,WAS,140.6,131.0,RB30,8.6
Chris Rodriguez,RB,RB44,140.0,145.1,5.1,2026-04-01,,,,,
Rashid Shaheed,WR,WR59,141.4,139.4,-2.0,2026-04-01,SEA,127.1,148.0,WR49,-6.6
Cam Ward,QB,QB24,141.7,142.6,0.9,2026-04-01,TEN,196.2,67.0,QB33,74.7
Omar Cooper Jr.,WR,WR60,142.4,149.2,6.8,2026-04-01,,,,,
Isaiah Likely,TE,TE16,142.6,146.7,4.1,2026-04-01,BAL,83.7,216.0,TE33,-73.4
Daniel Jones,QB,QB25,144.5,147.7,3.2,2026-04-01,IND,257.4,34.0,QB20,110.5
Zach Charbonnet,RB,RB45,146.1,144.4,-1.7,2026-04-01,SEA,185.4,76.0,RB18,70.1
Bryce Young,QB,QB26,147.1,146.4,-0.7,2026-04-01,CAR,206.4,59.0,QB30,88.1
Mark Andrews,TE,TE17,147.3,149.7,2.4,2026-04-01,BAL,93.6,201.0,TE28,-53.7
Tyrone Tracy,RB,RB46,149.0,144.1,-4.9,2026-04-01,,,,,
Fernando Mendoza,QB,QB27,149.8,148.7,-1.1,2026-04-01,,,,,
Jonathon Brooks,RB,RB47,150.1,153.4,3.3,2026-04-01,,,,,
Stefon Diggs,WR,WR61,150.4,141.7,-8.7,2026-04-01,NE,139.4,134.0,WR43,16.4
Brenton Strange,TE,TE18,150.7,146.6,-4.1,2026-04-01,JAX,113.0,167.0,TE20,-16.3
Travis Hunter,WR,WR62,153.6,153.9,0.3,2026-04-01,JAX,101.7,187.0,WR63,-33.4
Brandon Aiyuk,WR,WR63,154.3,151.9,-2.4,2026-04-01,SF,26.8,393.0,WR153,-238.7
Keaton Mitchell,RB,RB48,155.2,157.5,2.3,2026-04-01,BAL,62.2,260.0,RB61,-104.8
Juwan Johnson,TE,TE19,156.5,155.7,-0.8,2026-04-01,NO,131.9,143.0,TE13,13.5
Jacoby Brissett,QB,QB28,157.2,159.9,2.7,2026-04-01,ARI,285.7,22.0,QB13,135.2
Jerry Jeudy,WR,WR64,160.8,161.5,0.7,2026-04-01,CLE,107.3,179.0,WR58,-18.2
Deebo Samuel,WR,WR65,161.0,156.3,-4.7,2026-04-01,,,,,
Hunter Henry,TE,TE20,161.1,161.7,0.6,2026-04-01,NE,172.5,90.0,TE5,71.1
James Conner,RB,RB49,161.7,157.8,-3.9,2026-04-01,,,,,
Chig Okonkwo,TE,TE21,161.9,165.9,4.0,2026-04-01,TEN,122.5,155.0,TE15,6.9
Woody Marks,RB,RB50,162.8,159.2,-3.6,2026-04-01,HOU,124.5,151.0,RB39,11.8
Emanuel Wilson,RB,RB51,164.9,169.9,5.0,2026-04-01,GB,72.2,237.0,RB54,-72.1
Emmett Johnson,RB,RB52,166.8,164.0,-2.8,2026-04-01,,,,,
Isiah Pacheco,RB,RB53,167.8,169.0,1.2,2026-04-01,KC,85.4,209.0,RB50,-41.2
Kayshon Boutte,WR,WR66,169.1,167.3,-1.8,2026-04-01,NE,119.8,158.0,WR50,11.1
Adonai Mitchell,WR,WR67,169.9,172.2,2.3,2026-04-01,NYJ,66.6,250.0,WR94,-80.1
Geno Smith,QB,QB29,170.9,175.8,4.9,2026-04-01,LV,184.3,79.0,QB38,91.9
Calvin Ridley,WR,WR68,172.3,173.3,1.0,2026-04-01,TEN,97.4,193.0,WR68,-20.7
Isaac TeSlaa,WR,WR69,172.9,173.7,0.8,2026-04-01,DET,30.8,382.0,WR146,-209.1
AJ Barner,TE,TE22,173.8,174.3,0.5,2026-04-01,SEA,82.2,222.0,TE36,-48.2
Jalen Nailor,WR,WR70,174.9,176.5,1.6,2026-04-01,MIN,94.6,198.0,WR72,-23.1
T.J. Hockenson,TE,TE23,175.3,176.3,1.0,2026-04-01,MIN,108.5,176.0,TE24,-0.7
Tyreek Hill,WR,WR71,175.9,168.2,-7.7,2026-04-01,,,,,
Tyjae Spears,RB,RB54,176.8,171.8,-5.0,2026-04-01,TEN,131.9,144.0,RB34,32.8
Dylan Sampson,RB,RB55,178.4,180.2,1.8,2026-04-01,CLE,52.5,292.0,RB73,-113.6
Dalton Schultz,TE,TE24,178.7,178.2,-0.5,2026-04-01,HOU,156.5,110.0,TE8,68.7
Tank Dell,WR,WR72,179.2,178.3,-0.9,2026-04-01,HOU,11.7,495.0,WR231,-315.8
Tre' Harris,WR,WR73,182.2,181.3,-0.9,2026-04-01,,,,,
Brian Robinson,RB,RB56,183.2,198.1,14.9,2026-04-01,SF,48.2,310.0,RB79,-126.8
Eli Stowers,TE,TE25,183.3,185.7,2.4,2026-04-01,,,,,
Sean Tucker,RB,RB57,185.2,182.2,-3.0,2026-04-01,TB,52.4,294.0,RB74,-108.8
Tank Bigsby,RB,RB58,185.8,186.9,1.1,2026-04-01,PHI,24.5,402.0,RB103,-216.2
Darnell Mooney,WR,WR74,186.2,189.4,3.2,2026-04-01,ATL,95.1,196.0,WR70,-9.8
Christian Kirk,WR,WR75,186.9,194.9,8.0,2026-04-01,HOU,84.3,213.0,WR79,-26.1
Malik Washington,WR,WR76,189.1,192.6,3.5,2026-04-01,MIA,89.3,205.0,WR75,-15.9
Chimere Dike,WR,WR77,189.5,185.3,-4.2,2026-04-01,TEN,95.0,197.0,WR71,-7.5
David Njoku,TE,TE26,192.3,189.5,-2.8,2026-04-01,CLE,109.3,174.0,TE23,18.3
Nicholas Singleton,RB,RB59,192.9,197.8,4.9,2026-04-01,,,,,
Tre Tucker,WR,WR78,193.0,191.2,-1.8,2026-04-01,LV,150.2,117.0,WR34,76.0
Alvin Kamara,RB,RB60,193.4,190.8,-2.6,2026-04-01,NO,71.3,239.0,RB55,-45.6
Mason Taylor,TE,TE27,193.7,195.7,2.0,2026-04-01,NYJ,61.9,263.0,TE48,-69.3
Tua Tagovailoa,QB,QB30,195.7,199.1,3.4,2026-04-01,MIA,202.2,60.0,QB31,135.7
Cade Otton,TE,TE28,197.1,197.2,0.1,2026-04-01,TB,117.5,163.0,TE18,34.1
Gunnar Helm,TE,TE29,199.5,201.1,1.6,2026-04-01,TEN,71.2,240.0,TE41,-40.5
Braelon Allen,RB,RB61,200.0,199.3,-0.7,2026-04-01,,,,,
Pat Bryant,WR,WR79,202.9,191.7,-11.2,2026-04-01,DEN,93.9,200.0,WR73,2.9
Kimani Vidal,RB,RB62,203.8,197.8,-6.0,2026-04-01,LAC,125.2,150.0,RB38,53.8
Aaron Rodgers,QB,QB31,203.9,210.7,6.8,2026-04-01,PIT,151.2,115.0,QB47,88.9
Elijah Sarratt,WR,WR80,204.4,205.4,1.0,2026-04-01,,,,,
Ryan Flournoy,WR,WR81,204.5,206.2,1.7,2026-04-01,DAL,61.9,262.0,WR97,-57.5
Chris Brazzell II,WR,WR82,205.3,211.2,5.9,2026-04-01,,,,,
Terrance Ferguson,TE,TE30,207.3,207.5,0.2,2026-04-01,LA,47.2,316.0,TE60,-108.7
