attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_standard,fpts_half_ppr,fpts_ppr,fpts_te_premium,player_id,player_name,position,team,age,age_multiplier,scenario,season_proj,model,projection_confidence,games_recent,returning_from_injury
480.0,275.0,2791.0,14.2,3.9,27.0,117.0,1.7,0.0,0.0,0.0,0.0,182.5,182.5,182.5,182.5,00-0036898,Davis Mills,QB,HOU,28,1.02,base,2026,weighted_v1,Low,6,False
566.0,324.0,3290.0,16.8,4.6,27.0,117.0,1.7,0.0,0.0,0.0,0.0,211.5,211.5,211.5,211.5,00-0036898,Davis Mills,QB,HOU,28,1.02,bull,2026,weighted_v1,Low,6,False
,,0.0,0.0,0.0,0.0,0.0,0.0,175.0,120.0,1451.0,8.3,194.9,254.9,314.9,314.9,00-0036900,Ja'Marr Chase,WR,CIN,27,1.03,bear,2026,weighted_v1,High,16,False
,,0.0,0.0,0.0,0.0,0.0,0.0,159.0,109.0,1322.0,10.3,194.0,248.5,303.0,303.0,00-0036900,Ja'Marr Chase,WR,CIN,27,1.03,base,2026,weighted_v1,High,16,False
,,0.0,0.0,0.0,0.0,0.0,0.0,178.0,122.0,1476.0,12.0,219.6,280.6,341.6,341.6,00-0036900,Ja'Marr Chase,WR,CIN,27,1.03,bull,2026,weighted_v1,High,16,False
,,0.0,0.0,0.0,0.0,0.0,0.0,94.0,66.0,852.0,4.7,113.4,146.4,179.4,179.4,00-0036912,DeVonta Smith,WR,PHI,28,1.02,bear,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,0.0,0.0,0.0,96.0,68.0,876.0,6.5,126.6,160.6,194.6,194.6,00-0036912,DeVonta Smith,WR,PHI,28,1.02,base,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,0.0,0.0,0.0,109.0,77.0,993.0,8.4,149.7,188.2,226.7,226.7,00-0036912,DeVonta Smith,WR,PHI,28,1.02,bull,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,64.0,287.0,2.4,51.0,42.0,285.0,1.4,80.0,101.0,122.0,122.0,00-0036919,Kenneth Gainwell,RB,PIT,27,0.94,bear,2026,weighted_v1,High,17,False
,,0.0,0.0,0.0,80.0,359.0,3.0,57.0,48.0,319.0,2.4,100.2,124.2,148.2,148.2,00-0036919,Kenneth Gainwell,RB,PIT,27,0.94,base,2026,weighted_v1,High,17,False
